name,club,age,nationality,position,called_up,minutes,avg_rating,clearances_pg,aerial_duels_won,total_duels_won,accurate_passes,long_balls_accurate,balls_recovered_pg,errors_leading_shot,dribbled_past_pg,fouls_pg,raw_score,rating_bonus,composite_score,cb_score,tier,status,rank
Al Hamra Hehanusa,Persik Kediri,26,Indonesia,CB,No,883,6.88,3.0,2.0,3.5,41.6,1.5,8.8,7,1.2,0.09,1.068209748632741,3.5199999999999996,4.588209748632741,100.0,🔴 Timnas Ready,❌ Tidak Dipanggil,1
Ricky Fajrin,Bali United,30,Indonesia,CB/LB,No,2520,6.93,3.1,1.2,6.5,34.0,2.6,10.1,18,3.5,1.2,0.8222004383817844,3.719999999999999,4.542200438381784,99.0,🔴 Timnas Ready,❌ Tidak Dipanggil,2
Rizky Ridho,Persija Jakarta,24,Indonesia,CB,No,2501,6.95,2.0,1.3,3.0,45.6,3.3,8.3,8,1.4,1.0,0.6268018146702904,3.8000000000000007,4.426801814670291,96.5,🔴 Timnas Ready,❌ Tidak Dipanggil,3
Asyraq Gufron,Semen Padang FC,30,Indonesia,CB,No,607,6.77,3.6,1.6,5.0,34.9,3.3,8.1,4,0.7,1.1,1.3433316909884734,3.0799999999999983,4.423331690988472,96.4,🔴 Timnas Ready,❌ Tidak Dipanggil,4
Komang Teguh,Borneo FC,24,Indonesia,CB,No,2318,6.99,2.6,1.1,2.4,41.0,2.2,8.5,23,1.7,0.4,0.26841711078366126,3.960000000000001,4.228417110783662,92.2,🔴 Timnas Ready,❌ Tidak Dipanggil,5
Jordi Amat,Persija Jakarta,34,Indonesia,CB,No,2095,6.83,1.2,1.2,3.1,39.1,2.4,6.6,4,1.2,1.1,0.25382108220125815,3.3200000000000003,3.5738210822012584,78.0,🔴 Timnas Ready,❌ Tidak Dipanggil,6
Muhamad Firly,Persik Kediri,26,Indonesia,CB,No,1407,6.72,1.7,1.2,3.0,49.5,3.6,10.3,14,1.4,0.4,0.6110057863852187,2.8799999999999994,3.491005786385218,76.2,🔴 Timnas Ready,❌ Tidak Dipanggil,7
Brian Fatari,Dewa United,26,Indonesia,CB,Yes,1950,6.78,1.8,1.4,3.5,42.9,1.2,7.2,12,1.4,0.5,0.3699777321972945,3.120000000000001,3.4899777321972953,76.1,🔴 Timnas Ready,✅ Dipanggil,8
Hansamu Yama Pranata,Arema FC,31,Indonesia,CB,No,1045,6.71,2.9,1.8,4.4,25.1,1.1,8.1,13,1.5,0.9,0.6110274156153152,2.84,3.451027415615315,75.3,🔴 Timnas Ready,❌ Tidak Dipanggil,9
Alfeandra Dewangga,Persib Bandung,24,Indonesia,CB/RB,No,557,6.8,2.1,1.4,3.6,14.8,1.3,4.3,2,1.3,1.0,0.18557974054934123,3.1999999999999997,3.385579740549341,73.9,🟡 Fringe Candidate,❌ Tidak Dipanggil,10
Ryuji Utomo,Persita Tangerang,30,Indonesia,CB,No,766,6.68,1.8,2.1,3.0,19.0,3.6,4.7,6,0.9,0.9,0.5224544856018344,2.7199999999999993,3.242454485601834,70.8,🟡 Fringe Candidate,❌ Tidak Dipanggil,11
Ade Kristiano,Semen Padang FC,22,Indonesia,CB,No,401,6.6,2.8,1.6,3.6,27.2,1.6,7.2,3,1.0,0.8,0.7009618981972835,2.3999999999999986,3.100961898197282,67.7,🟡 Fringe Candidate,❌ Tidak Dipanggil,12
Nurhidayat Haji Haris,PSBS Biak,27,Indonesia,CB,No,2210,6.63,3.6,0.8,4.7,24.3,2.7,8.0,22,1.8,0.7,0.5366153349122016,2.5199999999999996,3.056615334912201,66.7,🟡 Fringe Candidate,❌ Tidak Dipanggil,13
Kadek Arel,Bali United,21,Indonesia,CB,No,1973,6.69,2.4,1.2,2.9,33.2,1.8,6.0,15,1.9,1.0,0.17057570357962382,2.7600000000000016,2.9305757035796254,64.0,🟡 Fringe Candidate,❌ Tidak Dipanggil,14
Rendra Teddy,PSIM Jogja,29,Indonesia,CB,No,799,6.63,2.1,1.1,2.5,51.3,1.6,8.8,8,1.5,1.2,0.39481098193013814,2.5199999999999996,2.9148109819301378,63.7,🟡 Fringe Candidate,❌ Tidak Dipanggil,15
Rusadi Ahmad,Madura United,23,Indonesia,CB,No,938,6.75,1.8,0.9,2.6,20.1,2.0,5.4,7,2.6,0.4,-0.08835811471230481,3.0,2.911641885287695,63.6,🟡 Fringe Candidate,❌ Tidak Dipanggil,16
Rachmat Irianto,Persebaya Surabaya,26,Indonesia,CB/DM,No,1309,6.78,1.1,0.5,3.6,22.4,1.8,6.2,9,1.5,0.7,-0.25759090792916395,3.120000000000001,2.862409092070837,62.5,🟡 Fringe Candidate,❌ Tidak Dipanggil,17
Safrudin Tahar,Malut United,32,Indonesia,CB/RB,No,1400,6.72,2.3,0.9,2.1,17.4,1.0,5.0,8,0.6,0.4,-0.08007742345531374,2.8799999999999994,2.799922576544686,61.2,🟡 Fringe Candidate,❌ Tidak Dipanggil,18
Andy Setyo Nugroho,PSIM Jogja,28,Indonesia,CB,No,288,6.73,1.7,0.7,1.3,25.3,0.7,4.6,1,0.3,0.0,-0.1532302579375298,2.9200000000000017,2.766769742062472,60.4,🟡 Fringe Candidate,❌ Tidak Dipanggil,19
Agung Mannan,Persis Solo,27,Indonesia,CB/LB,No,216,6.7,1.2,0.8,2.2,12.3,3.0,5.5,2,0.8,0.5,-0.13346046464260153,2.8000000000000007,2.666539535357399,58.3,🟡 Fringe Candidate,❌ Tidak Dipanggil,20
Muhammad Ferarri,Bhayangkara FC,22,Indonesia,CB/RB,Yes,720,6.65,1.8,0.6,3.6,16.3,1.5,6.7,4,1.3,1.3,-0.11443436978854048,2.6000000000000014,2.485565630211461,54.3,🟡 Fringe Candidate,✅ Dipanggil,21
Bagas Adi Nugroho,Bali United,29,Indonesia,CB,No,713,6.65,1.2,0.7,1.8,29.3,2.0,5.3,3,1.2,1.3,-0.25807364118773557,2.6000000000000014,2.341926358812266,51.2,🟡 Fringe Candidate,❌ Tidak Dipanggil,22
Vava Mario Yagalo,Persik Kediri,33,Indonesia,CB,No,184,6.6,0.8,1.0,2.7,13.5,1.7,4.2,2,1.3,0.5,-0.29907911212907357,2.3999999999999986,2.100920887870925,46.0,🟢 Developing,❌ Tidak Dipanggil,23
Kakang Rudianto,Persib Bandung,23,Indonesia,CB/RB,No,1668,6.64,1.3,0.4,2.2,22.6,0.9,4.8,6,2.7,0.6,-0.5363748396834292,2.559999999999999,2.02362516031657,44.3,🟢 Developing,❌ Tidak Dipanggil,24
Kadek Raditya Maheswara,Persis Solo,26,Indonesia,CB,No,1230,6.58,1.6,0.6,1.5,21.6,1.6,4.1,10,1.1,0.4,-0.3941924539221926,2.3200000000000003,1.9258075460778077,42.2,🟢 Developing,❌ Tidak Dipanggil,25
Muhammad Anwar Rifa'i,Arema FC,25,Indonesia,CB,No,338,6.61,1.3,0.8,1.5,7.8,0.3,2.9,1,0.5,0.3,-0.5441846439048535,2.4400000000000013,1.8958153560951478,41.5,🟢 Developing,❌ Tidak Dipanggil,26
Riswan Lauhim,Malut United,27,Indonesia,CB,No,155,6.5,1.8,1.4,3.0,8.4,0.2,4.0,4,1.4,0.2,-0.11419495612155045,2.0,1.8858050438784495,41.3,🟢 Developing,❌ Tidak Dipanggil,27
Arif Budiyono,PSBS Biak,33,Indonesia,CB/RB,No,949,6.51,2.1,1.1,2.2,15.1,1.4,4.4,12,1.1,0.4,-0.15421559312342115,2.039999999999999,1.885784406876578,41.3,🟢 Developing,❌ Tidak Dipanggil,28
Nur Diansyah,Madura United,27,Indonesia,CB,No,478,6.53,2.0,0.5,1.3,14.5,1.9,4.2,2,1.5,0.5,-0.289041379237866,2.120000000000001,1.830958620762135,40.1,🟢 Developing,❌ Tidak Dipanggil,29
Alfharezzi Buffon,Borneo FC,20,Indonesia,CB/RB,Yes,1106,6.53,1.2,1.1,3.2,19.9,1.2,4.6,12,2.4,0.4,-0.2949116754919551,2.120000000000001,1.8250883245080458,40.0,🟢 Developing,✅ Dipanggil,30
Wahyu Prasetyo,Dewa United,28,Indonesia,CB,Yes,1032,6.56,1.4,0.3,2.2,19.0,1.2,5.3,4,1.7,0.5,-0.43859456378459505,2.2399999999999984,1.8014054362154033,39.5,🟢 Developing,✅ Dipanggil,31
Charisma Fathoni,Persita Tangerang,25,Indonesia,CB,No,1052,6.49,1.7,1.1,2.1,18.4,1.4,3.9,9,1.2,0.6,-0.21881740836748514,1.9600000000000009,1.7411825916325157,38.2,🟢 Developing,❌ Tidak Dipanggil,32
Daffa Salman,PSM Makassar,24,Indonesia,CB,No,501,6.47,2.5,0.3,2.7,18.3,2.3,6.0,1,5.0,1.0,-0.15039950890546694,1.879999999999999,1.7296004910945322,37.9,🟢 Developing,❌ Tidak Dipanggil,33
Eky Taufik,Persis Solo,35,Indonesia,CB/LB,No,700,6.45,1.8,1.0,3.6,21.1,1.1,5.3,8,2.5,1.3,-0.1452644720234041,1.8000000000000007,1.6547355279765967,36.3,🟢 Developing,❌ Tidak Dipanggil,34
Akbar Arjunsyah,Persijap Jepara,24,Indonesia,CB,No,3,6.7,0.0,0.3,0.3,0.7,0.0,0.7,0,0.3,0.0,-1.286850083289021,2.8000000000000007,1.5131499167109796,33.2,🟢 Developing,❌ Tidak Dipanggil,35
Rian Miziar,Persis Solo,25,Indonesia,CB,No,489,6.36,0.6,1.4,2.5,20.1,2.0,5.3,4,0.8,0.6,-0.13600516986327385,1.4400000000000013,1.3039948301367275,28.7,🟢 Developing,❌ Tidak Dipanggil,36
Syahrul Lasinari,PSM Makassar,26,Indonesia,CB/RB,No,1086,6.37,1.3,0.6,2.8,14.8,2.3,6.1,6,2.9,0.9,-0.36079548339069095,1.4800000000000004,1.1192045166093094,24.7,🟢 Developing,❌ Tidak Dipanggil,37
Hadi Ardiansyah,PSBS Biak,25,Indonesia,CB,No,481,6.21,2.6,1.1,2.7,15.4,0.4,4.7,2,2.0,0.6,0.04184202993075922,0.8399999999999999,0.8818420299307591,19.5,🟢 Developing,❌ Tidak Dipanggil,38
Dion Markx,Persib Bandung,20,Indonesia,CB,No,3,6.4,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,-1.3833502096709123,1.6000000000000014,0.21664979032908915,5.1,🟢 Developing,❌ Tidak Dipanggil,39
Andrean Rindorindo,Persita Tangerang,22,Indonesia,CB,No,65,6.17,1.7,0.0,0.7,7.3,2.0,3.0,3,0.7,0.7,-0.6961362619948352,0.6799999999999998,-0.01613626199483542,0.0,🟢 Developing,❌ Tidak Dipanggil,40
